,tweet_created_at,id_str,entity_user_mentions,con_id_str_list,con_id_str_list1,con_id_str_list2,full_conversation_ids,airline_contain_con,airline_contain_con_time,airline_reply_time,56377143
2396,2019-07-27 10:15:10,1.1550590434105958e+18,"('KLM', '56377143')",['1.1550590434105958e+18'],"['1.1550644313715876e+18', '1.1550645613739868e+18']",[],"['1.1550590434105958e+18', '1.1550644313715876e+18', '1.1550645613739868e+18']","['1.1550644313715876e+18', '1.1550645613739868e+18']","['2019-07-27 10:36:35', '2019-07-27 10:37:06']",2019-07-27 10:36:35,21.416666666666668
2397,2019-07-27 10:18:37,1.1550599104613335e+18,"('KLM', '56377143')",['1.1550599104613335e+18'],['1.1550663239127982e+18'],[],"['1.1550599104613335e+18', '1.1550663239127982e+18']",['1.1550663239127982e+18'],['2019-07-27 10:44:06'],2019-07-27 10:44:06,25.483333333333334
2398,2019-07-27 10:27:33,1.1550621615400346e+18,"('KLM', '56377143'),('scHeerenveen', '23942888'),('SunderlandAFC', '27844464')",['1.1550621615400346e+18'],['1.155065857611096e+18'],[],"['1.1550621615400346e+18', '1.155065857611096e+18']",['1.155065857611096e+18'],['2019-07-27 10:42:15'],2019-07-27 10:42:15,14.7
2401,2019-07-27 13:18:09,1.155105092196098e+18,"('KLM', '56377143')",['1.155105092196098e+18'],['1.155106368833147e+18'],[],"['1.155105092196098e+18', '1.155106368833147e+18']",['1.155106368833147e+18'],['2019-07-27 13:23:13'],2019-07-27 13:23:13,5.066666666666666
2402,2019-07-27 14:11:01,1.1551183948463964e+18,"('KLM', '56377143')",['1.1551183948463964e+18'],['1.1551197046436864e+18'],[],"['1.1551183948463964e+18', '1.1551197046436864e+18']",['1.1551197046436864e+18'],['2019-07-27 14:16:13'],2019-07-27 14:16:13,5.2
2403,2019-07-27 14:13:56,1.1551191303426417e+18,"('KLM', '56377143'),('KLM', '56377143'),('KLM', '56377143')",['1.1551191303426417e+18'],"['1.1551221249961206e+18', '1.1551221596117606e+18']",[],"['1.1551191303426417e+18', '1.1551221249961206e+18', '1.1551221596117606e+18']","['1.1551221249961206e+18', '1.1551221596117606e+18']","['2019-07-27 14:25:50', '2019-07-27 14:25:58']",2019-07-27 14:25:50,11.9
2404,2019-07-27 15:02:22,1.1551313187344015e+18,"('KLM', '56377143')",['1.1551313187344015e+18'],['1.1551348250927882e+18'],[],"['1.1551313187344015e+18', '1.1551348250927882e+18']",['1.1551348250927882e+18'],['2019-07-27 15:16:18'],2019-07-27 15:16:18,13.933333333333334
2406,2019-07-27 16:29:33,1.1551532610469806e+18,"('KLM', '56377143')",['1.1551532610469806e+18'],['1.155154402031952e+18'],[],"['1.1551532610469806e+18', '1.155154402031952e+18']",['1.155154402031952e+18'],['2019-07-27 16:34:05'],2019-07-27 16:34:05,4.533333333333333
2407,2019-07-27 17:08:17,1.1551630075358003e+18,"('KLM', '56377143')",['1.1551630075358003e+18'],['1.1551705241018286e+18'],[],"['1.1551630075358003e+18', '1.1551705241018286e+18']",['1.1551705241018286e+18'],['2019-07-27 17:38:09'],2019-07-27 17:38:09,29.866666666666667
2408,2019-07-27 17:52:30,1.1551741336401142e+18,"('KLM', '56377143')",['1.1551741336401142e+18'],['1.155175732693414e+18'],[],"['1.1551741336401142e+18', '1.155175732693414e+18']",['1.155175732693414e+18'],['2019-07-27 17:58:51'],2019-07-27 17:58:51,6.35
2409,2019-07-27 17:57:14,1.1551753280605102e+18,"('KLM', '56377143')",['1.1551753280605102e+18'],"['1.155183494047232e+18', '1.155183688604377e+18']",[],"['1.1551753280605102e+18', '1.155183494047232e+18', '1.155183688604377e+18']","['1.155183494047232e+18', '1.155183688604377e+18']","['2019-07-27 18:29:41', '2019-07-27 18:30:28']",2019-07-27 18:29:41,32.45
2410,2019-07-27 18:51:44,1.1551890407376364e+18,"('KLM', '56377143')",['1.1551890407376364e+18'],['1.155189883343913e+18'],[],"['1.1551890407376364e+18', '1.155189883343913e+18']",['1.155189883343913e+18'],['2019-07-27 18:55:05'],2019-07-27 18:55:05,3.35
2412,2019-07-27 21:35:13,1.155230185320538e+18,"('KLM', '56377143')",['1.155230185320538e+18'],['1.155233645650727e+18'],[],"['1.155230185320538e+18', '1.155233645650727e+18']",['1.155233645650727e+18'],['2019-07-27 21:48:58'],2019-07-27 21:48:58,13.75
2413,2019-07-27 21:52:37,1.15523456159864e+18,"('KLM', '56377143')",['1.15523456159864e+18'],['1.155235780685652e+18'],[],"['1.15523456159864e+18', '1.155235780685652e+18']",['1.155235780685652e+18'],['2019-07-27 21:57:28'],2019-07-27 21:57:28,4.85
2414,2019-07-27 21:59:15,1.1552362318417592e+18,"('KLM', '56377143')",['1.1552362318417592e+18'],['1.1552377209035612e+18'],[],"['1.1552362318417592e+18', '1.1552377209035612e+18']",['1.1552377209035612e+18'],['2019-07-27 22:05:10'],2019-07-27 22:05:10,5.916666666666667
2417,2019-07-28 06:25:26,1.155363617996456e+18,"('KLM', '56377143')",['1.155363617996456e+18'],"['1.1553651766376325e+18', '1.1553652650619494e+18']",[],"['1.155363617996456e+18', '1.1553651766376325e+18', '1.1553652650619494e+18']","['1.1553651766376325e+18', '1.1553652650619494e+18']","['2019-07-28 06:31:38', '2019-07-28 06:31:59']",2019-07-28 06:31:38,6.2
2420,2019-07-28 08:54:17,1.1554010764237455e+18,"('KLM', '56377143'),('Skyscanner', '26015589')",['1.1554010764237455e+18'],['1.155403470314324e+18'],[],"['1.1554010764237455e+18', '1.155403470314324e+18']",['1.155403470314324e+18'],['2019-07-28 09:03:48'],2019-07-28 09:03:48,9.516666666666667
2421,2019-07-28 09:03:59,1.1554035178106102e+18,"('KLM', '56377143')",['1.1554035178106102e+18'],['1.155405131950764e+18'],[],"['1.1554035178106102e+18', '1.155405131950764e+18']",['1.155405131950764e+18'],['2019-07-28 09:10:24'],2019-07-28 09:10:24,6.416666666666667
2423,2019-07-28 10:24:13,1.1554237087623127e+18,"('KLM', '56377143')",['1.1554237087623127e+18'],['1.1554252693075763e+18'],[],"['1.1554237087623127e+18', '1.1554252693075763e+18']",['1.1554252693075763e+18'],['2019-07-28 10:30:25'],2019-07-28 10:30:25,6.2
2427,2019-07-28 12:39:30,1.1554577518305567e+18,"('KLM', '56377143')",['1.1554577518305567e+18'],"['1.1554677656392008e+18', '1.1554679182406042e+18']",[],"['1.1554577518305567e+18', '1.1554677656392008e+18', '1.1554679182406042e+18']","['1.1554677656392008e+18', '1.1554679182406042e+18']","['2019-07-28 13:19:17', '2019-07-28 13:19:53']",2019-07-28 13:19:17,39.78333333333333
2428,2019-07-28 12:48:33,1.1554600316654674e+18,"('KLM', '56377143')",['1.1554600316654674e+18'],['1.1554666839785677e+18'],[],"['1.1554600316654674e+18', '1.1554666839785677e+18']",['1.1554666839785677e+18'],['2019-07-28 13:14:59'],2019-07-28 13:14:59,26.433333333333334
2432,2019-07-28 14:20:05,1.1554830665860096e+18,"('KLM', '56377143')",['1.1554830665860096e+18'],['1.1554860486817014e+18'],[],"['1.1554830665860096e+18', '1.1554860486817014e+18']",['1.1554860486817014e+18'],['2019-07-28 14:31:56'],2019-07-28 14:31:56,11.85
2433,2019-07-28 14:32:33,1.155486204156154e+18,"('KLM', '56377143')",['1.1554862041561539e+18'],['1.1554877044418642e+18'],[],"['1.1554862041561539e+18', '1.1554877044418642e+18']",['1.1554877044418642e+18'],['2019-07-28 14:38:31'],2019-07-28 14:38:31,5.966666666666667
2434,2019-07-28 15:32:55,1.155501395518214e+18,"('KLM', '56377143')",['1.1555013955182141e+18'],['1.1555047813829018e+18'],[],"['1.1555013955182141e+18', '1.1555047813829018e+18']",['1.1555047813829018e+18'],['2019-07-28 15:46:22'],2019-07-28 15:46:22,13.45
2436,2019-07-28 16:44:59,1.1555195309841818e+18,"('KLM', '56377143'),('KLM_UK', '19401532')",['1.1555195309841818e+18'],['1.1555207728672645e+18'],[],"['1.1555195309841818e+18', '1.1555207728672645e+18']",['1.1555207728672645e+18'],['2019-07-28 16:49:55'],2019-07-28 16:49:55,4.933333333333334
2437,2019-07-28 16:47:58,1.155520282309927e+18,"('KLM_UK', '19401532'),('KLM', '56377143'),('KLM_US', '108312174')",['1.155520282309927e+18'],['1.1555231800455086e+18'],[],"['1.155520282309927e+18', '1.1555231800455086e+18']",['1.1555231800455086e+18'],['2019-07-28 16:59:29'],2019-07-28 16:59:29,11.516666666666667
2438,2019-07-28 17:34:54,1.1555320949464023e+18,"('Delta', '5920532'),('KLM', '56377143')",['1.1555320949464023e+18'],"['1.1555346634458644e+18', '1.1555347297116938e+18', '1.1555347735044178e+18']",[],"['1.1555320949464023e+18', '1.1555346634458644e+18', '1.1555347297116938e+18', '1.1555347735044178e+18']","['1.1555346634458644e+18', '1.1555347297116938e+18', '1.1555347735044178e+18']","['2019-07-28 17:45:07', '2019-07-28 17:45:23', '2019-07-28 17:45:33']",2019-07-28 17:45:07,10.216666666666667
2440,2019-07-28 19:41:59,1.155564076464038e+18,"('KLM', '56377143')",['1.155564076464038e+18'],['1.155567786925658e+18'],[],"['1.155564076464038e+18', '1.155567786925658e+18']",['1.155567786925658e+18'],['2019-07-28 19:56:44'],2019-07-28 19:56:44,14.75
2441,2019-07-28 19:44:03,1.1555645950603633e+18,"('KLM', '56377143')",['1.1555645950603633e+18'],['1.1555686006836142e+18'],[],"['1.1555645950603633e+18', '1.1555686006836142e+18']",['1.1555686006836142e+18'],['2019-07-28 19:59:58'],2019-07-28 19:59:58,15.916666666666668
2442,2019-07-28 20:00:51,1.1555688218786284e+18,"('KLM', '56377143')",['1.1555688218786284e+18'],"['1.1555738049172849e+18', '1.1555738487897375e+18']",[],"['1.1555688218786284e+18', '1.1555738049172849e+18', '1.1555738487897375e+18']","['1.1555738049172849e+18', '1.1555738487897375e+18']","['2019-07-28 20:20:39', '2019-07-28 20:20:49']",2019-07-28 20:20:39,19.8
2443,2019-07-28 20:45:44,1.155580120326914e+18,"('KLM', '56377143'),('KLM_UK', '19401532')",['1.155580120326914e+18'],['1.1555820796121784e+18'],[],"['1.155580120326914e+18', '1.1555820796121784e+18']",['1.1555820796121784e+18'],['2019-07-28 20:53:32'],2019-07-28 20:53:32,7.800000000000001
2444,2019-07-28 20:57:16,1.1555830195598705e+18,"('KLM', '56377143')",['1.1555830195598705e+18'],['1.1555841286555116e+18'],[],"['1.1555830195598705e+18', '1.1555841286555116e+18']",['1.1555841286555116e+18'],['2019-07-28 21:01:40'],2019-07-28 21:01:40,4.4
2445,2019-07-28 22:24:44,1.1556050330162872e+18,"('KLM_ES', '68666990'),('KLM', '56377143')",['1.1556050330162872e+18'],['1.1556311608375173e+18'],[],"['1.1556050330162872e+18', '1.1556311608375173e+18']",['1.1556311608375173e+18'],['2019-07-29 00:08:33'],2019-07-29 00:08:33,103.81666666666666
2447,2019-07-29 04:02:53,1.1556901287713096e+18,"('KLM', '56377143')",['1.1556901287713096e+18'],['1.155691844145156e+18'],[],"['1.1556901287713096e+18', '1.155691844145156e+18']",['1.155691844145156e+18'],['2019-07-29 04:09:42'],2019-07-29 04:09:42,6.816666666666666
2449,2019-07-29 05:25:32,1.155710931223163e+18,"('KLM', '56377143')",['1.155710931223163e+18'],['1.1557140854278513e+18'],[],"['1.155710931223163e+18', '1.1557140854278513e+18']",['1.1557140854278513e+18'],['2019-07-29 05:38:04'],2019-07-29 05:38:04,12.533333333333333
2450,2019-07-29 05:29:24,1.1557119030433956e+18,"('KLM', '56377143')",['1.1557119030433956e+18'],['1.1557155130011402e+18'],[],"['1.1557119030433956e+18', '1.1557155130011402e+18']",['1.1557155130011402e+18'],['2019-07-29 05:43:45'],2019-07-29 05:43:45,14.35
2452,2019-07-29 07:45:11,1.155746075850023e+18,"('KLM', '56377143')",['1.155746075850023e+18'],['1.155748060594606e+18'],[],"['1.155746075850023e+18', '1.155748060594606e+18']",['1.155748060594606e+18'],['2019-07-29 07:53:05'],2019-07-29 07:53:05,7.900000000000001
2456,2019-07-29 10:17:00,1.1557842817987297e+18,"('KLM', '56377143')",['1.1557842817987297e+18'],['1.1557867381383086e+18'],[],"['1.1557842817987297e+18', '1.1557867381383086e+18']",['1.1557867381383086e+18'],['2019-07-29 10:26:46'],2019-07-29 10:26:46,9.766666666666667
2457,2019-07-29 11:03:41,1.1557960288194232e+18,"('KLM', '56377143')",['1.1557960288194232e+18'],['1.1557995941372027e+18'],[],"['1.1557960288194232e+18', '1.1557995941372027e+18']",['1.1557995941372027e+18'],['2019-07-29 11:17:51'],2019-07-29 11:17:51,14.166666666666666
2464,2019-07-29 15:23:14,1.1558613480536392e+18,"('KLM', '56377143')",['1.1558613480536392e+18'],['1.1558630853343027e+18'],[],"['1.1558613480536392e+18', '1.1558630853343027e+18']",['1.1558630853343027e+18'],['2019-07-29 15:30:09'],2019-07-29 15:30:09,6.916666666666667
2466,2019-07-29 17:26:32,1.1558923774265672e+18,"('KLM', '56377143')",['1.1558923774265672e+18'],['1.15589432677129e+18'],[],"['1.1558923774265672e+18', '1.15589432677129e+18']",['1.15589432677129e+18'],['2019-07-29 17:34:17'],2019-07-29 17:34:17,7.750000000000001
2467,2019-07-29 18:31:28,1.1559087149032858e+18,"('KLM', '56377143')",['1.1559087149032858e+18'],"['1.155911595601617e+18', '1.1560596048386826e+18']",[],"['1.1559087149032858e+18', '1.155911595601617e+18', '1.1560596048386826e+18']","['1.155911595601617e+18', '1.1560596048386826e+18']","['2019-07-29 18:42:54', '2019-07-30 04:31:02']",2019-07-29 18:42:54,11.433333333333334
2468,2019-07-29 18:46:43,1.155912553186435e+18,"('KLM', '56377143')",['1.155912553186435e+18'],['1.1559200105079685e+18'],[],"['1.155912553186435e+18', '1.1559200105079685e+18']",['1.1559200105079685e+18'],['2019-07-29 19:16:21'],2019-07-29 19:16:21,29.633333333333333
2469,2019-07-29 19:18:05,1.1559204488797798e+18,"('KLM', '56377143'),('LondonCityAir', '32388036')",['1.1559204488797798e+18'],['1.1559217396055777e+18'],[],"['1.1559204488797798e+18', '1.1559217396055777e+18']",['1.1559217396055777e+18'],['2019-07-29 19:23:13'],2019-07-29 19:23:13,5.133333333333334
2470,2019-07-29 19:20:50,1.1559211401305047e+18,"('KLM', '56377143')",['1.1559211401305047e+18'],['1.1559223139400335e+18'],[],"['1.1559211401305047e+18', '1.1559223139400335e+18']",['1.1559223139400335e+18'],['2019-07-29 19:25:30'],2019-07-29 19:25:30,4.666666666666667
2471,2019-07-29 19:27:00,1.1559226942794424e+18,"('KLM', '56377143')",['1.1559226942794424e+18'],"['1.1559244418026496e+18', '1.15592448137574e+18']",[],"['1.1559226942794424e+18', '1.1559244418026496e+18', '1.15592448137574e+18']","['1.1559244418026496e+18', '1.15592448137574e+18']","['2019-07-29 19:33:57', '2019-07-29 19:34:07']",2019-07-29 19:33:57,6.95
2477,2019-07-30 03:43:40,1.156047681208365e+18,"('KLM', '56377143')",['1.156047681208365e+18'],['1.1560500865494385e+18'],[],"['1.156047681208365e+18', '1.1560500865494385e+18']",['1.1560500865494385e+18'],['2019-07-30 03:53:13'],2019-07-30 03:53:13,9.55
2478,2019-07-30 03:44:13,1.1560478213945876e+18,"('KLM', '56377143')",['1.1560478213945876e+18'],['1.156051125394649e+18'],[],"['1.1560478213945876e+18', '1.156051125394649e+18']",['1.156051125394649e+18'],['2019-07-30 03:57:21'],2019-07-30 03:57:21,13.133333333333333
2479,2019-07-30 05:03:42,1.1560678224951214e+18,"('KLM', '56377143')",['1.1560678224951214e+18'],['1.1560723339683635e+18'],[],"['1.1560678224951214e+18', '1.1560723339683635e+18']",['1.1560723339683635e+18'],['2019-07-30 05:21:37'],2019-07-30 05:21:37,17.916666666666668
2481,2019-07-30 06:49:17,1.1560943953697014e+18,"('KLM', '56377143')",['1.1560943953697014e+18'],['1.1560977414136054e+18'],[],"['1.1560943953697014e+18', '1.1560977414136054e+18']",['1.1560977414136054e+18'],['2019-07-30 07:02:35'],2019-07-30 07:02:35,13.3
2482,2019-07-30 07:13:06,1.15610038684083e+18,"('KLM', '56377143')",['1.15610038684083e+18'],['1.156106185554219e+18'],[],"['1.15610038684083e+18', '1.156106185554219e+18']",['1.156106185554219e+18'],['2019-07-30 07:36:08'],2019-07-30 07:36:08,23.033333333333335
2483,2019-07-30 07:17:04,1.1561013859407995e+18,"('KLM', '56377143')",['1.1561013859407995e+18'],['1.156106135809581e+18'],[],"['1.1561013859407995e+18', '1.156106135809581e+18']",['1.156106135809581e+18'],['2019-07-30 07:35:56'],2019-07-30 07:35:56,18.866666666666667
2484,2019-07-30 07:37:40,1.1561065710443274e+18,"('KLM', '56377143')",['1.1561065710443274e+18'],['1.1561176243355894e+18'],[],"['1.1561065710443274e+18', '1.1561176243355894e+18']",['1.1561176243355894e+18'],['2019-07-30 08:21:35'],2019-07-30 08:21:35,43.916666666666664
2485,2019-07-30 07:39:17,1.1561069754548593e+18,"('KLM', '56377143')",['1.1561069754548593e+18'],['1.1561094089355264e+18'],[],"['1.1561069754548593e+18', '1.1561094089355264e+18']",['1.1561094089355264e+18'],['2019-07-30 07:48:57'],2019-07-30 07:48:57,9.666666666666666
2486,2019-07-30 08:47:13,1.156124074004951e+18,"('KLM', '56377143')",['1.156124074004951e+18'],['1.1561297286104146e+18'],[],"['1.156124074004951e+18', '1.1561297286104146e+18']",['1.1561297286104146e+18'],['2019-07-30 09:09:41'],2019-07-30 09:09:41,22.466666666666665
2487,2019-07-30 08:53:04,1.1561255453122642e+18,"('KLM', '56377143')",['1.1561255453122642e+18'],['1.156131206620156e+18'],[],"['1.1561255453122642e+18', '1.156131206620156e+18']",['1.156131206620156e+18'],['2019-07-30 09:15:34'],2019-07-30 09:15:34,22.5
2488,2019-07-30 09:10:19,1.1561298885559378e+18,"('KLM', '56377143')",['1.1561298885559378e+18'],['1.156143723975258e+18'],[],"['1.1561298885559378e+18', '1.156143723975258e+18']",['1.156143723975258e+18'],['2019-07-30 10:05:18'],2019-07-30 10:05:18,54.983333333333334
2490,2019-07-30 10:01:13,1.15614269624073e+18,"('KLM', '56377143')",['1.15614269624073e+18'],['1.1561467990292275e+18'],[],"['1.15614269624073e+18', '1.1561467990292275e+18']",['1.1561467990292275e+18'],['2019-07-30 10:17:31'],2019-07-30 10:17:31,16.3
2494,2019-07-30 13:20:49,1.1561929272841912e+18,"('KLM', '56377143'),('KenyaLacrosse', '4063026160')",['1.1561929272841912e+18'],['1.1561962509890191e+18'],[],"['1.1561929272841912e+18', '1.1561962509890191e+18']",['1.1561962509890191e+18'],['2019-07-30 13:34:01'],2019-07-30 13:34:01,13.2
2499,2019-07-30 18:27:54,1.15627020637909e+18,"('KLM', '56377143')",['1.15627020637909e+18'],['1.1562712165226455e+18'],[],"['1.15627020637909e+18', '1.1562712165226455e+18']",['1.1562712165226455e+18'],['2019-07-30 18:31:55'],2019-07-30 18:31:55,4.0166666666666675
2500,2019-07-30 18:53:09,1.1562765622344008e+18,"('KLM', '56377143')",['1.1562765622344008e+18'],"['1.1562774117781094e+18', '1.1562774951650632e+18', '1.1562775414072074e+18']",[],"['1.1562765622344008e+18', '1.1562774117781094e+18', '1.1562774951650632e+18', '1.1562775414072074e+18']","['1.1562774117781094e+18', '1.1562774951650632e+18', '1.1562775414072074e+18']","['2019-07-30 18:56:32', '2019-07-30 18:56:52', '2019-07-30 18:57:03']",2019-07-30 18:56:32,3.3833333333333333
2501,2019-07-30 21:19:16,1.1563133349223383e+18,"('KLM', '56377143')",['1.1563133349223383e+18'],['1.1563154974383596e+18'],[],"['1.1563133349223383e+18', '1.1563154974383596e+18']",['1.1563154974383596e+18'],['2019-07-30 21:27:52'],2019-07-30 21:27:52,8.6
2502,2019-07-30 23:09:35,1.15634109605163e+18,"('KLM', '56377143')",['1.15634109605163e+18'],['1.1563442488553882e+18'],[],"['1.15634109605163e+18', '1.1563442488553882e+18']",['1.1563442488553882e+18'],['2019-07-30 23:22:07'],2019-07-30 23:22:07,12.533333333333333
2503,2019-07-30 23:36:28,1.156347858892796e+18,"('KLM', '56377143')",['1.156347858892796e+18'],['1.156349289112752e+18'],[],"['1.156347858892796e+18', '1.156349289112752e+18']",['1.156349289112752e+18'],['2019-07-30 23:42:09'],2019-07-30 23:42:09,5.683333333333334
2504,2019-07-31 01:06:16,1.156370461317636e+18,"('KLM', '56377143')",['1.156370461317636e+18'],['1.156375588074066e+18'],[],"['1.156370461317636e+18', '1.156375588074066e+18']",['1.156375588074066e+18'],['2019-07-31 01:26:39'],2019-07-31 01:26:39,20.383333333333333
2505,2019-07-31 01:10:23,1.1563714961363026e+18,"('KLM', '56377143')",['1.1563714961363026e+18'],['1.156376895744815e+18'],[],"['1.1563714961363026e+18', '1.156376895744815e+18']",['1.156376895744815e+18'],['2019-07-31 01:31:51'],2019-07-31 01:31:51,21.466666666666665
2511,2019-07-31 05:59:45,1.1564443155871375e+18,"('KLM', '56377143')",['1.1564443155871375e+18'],['1.1564467551369748e+18'],[],"['1.1564443155871375e+18', '1.1564467551369748e+18']",['1.1564467551369748e+18'],['2019-07-31 06:09:26'],2019-07-31 06:09:26,9.683333333333334
2516,2019-07-31 07:32:58,1.1564677748537016e+18,"('KLM', '56377143'),('flysaa', '136071451')",['1.1564677748537016e+18'],['1.156468901817045e+18'],[],"['1.1564677748537016e+18', '1.156468901817045e+18']",['1.156468901817045e+18'],['2019-07-31 07:37:27'],2019-07-31 07:37:27,4.483333333333333
2518,2019-07-31 07:57:05,1.1564738444310405e+18,"('KLM', '56377143')",['1.1564738444310405e+18'],['1.1564765136609198e+18'],[],"['1.1564738444310405e+18', '1.1564765136609198e+18']",['1.1564765136609198e+18'],['2019-07-31 08:07:41'],2019-07-31 08:07:41,10.6
2520,2019-07-31 08:53:29,1.1564880393398313e+18,"('KLM', '56377143')",['1.1564880393398313e+18'],['1.1564929947506156e+18'],[],"['1.1564880393398313e+18', '1.1564929947506156e+18']",['1.1564929947506156e+18'],['2019-07-31 09:13:11'],2019-07-31 09:13:11,19.7
2521,2019-07-31 09:13:44,1.1564931349537014e+18,"('KLM', '56377143')",['1.1564931349537014e+18'],['1.1564948796414935e+18'],[],"['1.1564931349537014e+18', '1.1564948796414935e+18']",['1.1564948796414935e+18'],['2019-07-31 09:20:40'],2019-07-31 09:20:40,6.933333333333334
2522,2019-07-31 09:33:27,1.1564980981532385e+18,"('KLM', '56377143')",['1.1564980981532385e+18'],['1.1565016083788964e+18'],[],"['1.1564980981532385e+18', '1.1565016083788964e+18']",['1.1565016083788964e+18'],['2019-07-31 09:47:24'],2019-07-31 09:47:24,13.95
2524,2019-07-31 10:29:44,1.1565122584213957e+18,"('Schiphol', '8279892'),('KLM', '56377143')",['1.1565122584213955e+18'],['1.1565148033907876e+18'],[],"['1.1565122584213955e+18', '1.1565148033907876e+18']",['1.1565148033907876e+18'],['2019-07-31 10:39:50'],2019-07-31 10:39:50,10.1
2525,2019-07-31 11:00:52,1.1565200959985172e+18,"('KLM', '56377143')",['1.1565200959985172e+18'],['1.156522943888986e+18'],[],"['1.1565200959985172e+18', '1.156522943888986e+18']",['1.156522943888986e+18'],['2019-07-31 11:12:11'],2019-07-31 11:12:11,11.316666666666666
2526,2019-07-31 11:59:56,1.1565349593745695e+18,"('KLM', '56377143')",['1.1565349593745695e+18'],['1.1565387538187264e+18'],[],"['1.1565349593745695e+18', '1.1565387538187264e+18']",['1.1565387538187264e+18'],['2019-07-31 12:15:01'],2019-07-31 12:15:01,15.083333333333334
2527,2019-07-31 12:39:39,1.1565449539312271e+18,"('KLM', '56377143')",['1.1565449539312271e+18'],"['1.1565472499728876e+18', '1.1565473524397302e+18', '1.156547423768068e+18']",[],"['1.1565449539312271e+18', '1.1565472499728876e+18', '1.1565473524397302e+18', '1.156547423768068e+18']","['1.1565472499728876e+18', '1.1565473524397302e+18', '1.156547423768068e+18']","['2019-07-31 12:48:46', '2019-07-31 12:49:11', '2019-07-31 12:49:28']",2019-07-31 12:48:46,9.116666666666667
2528,2019-07-31 12:39:44,1.1565449740597125e+18,"('KLM', '56377143')",['1.1565449740597125e+18'],['1.156548008340861e+18'],[],"['1.1565449740597125e+18', '1.156548008340861e+18']",['1.156548008340861e+18'],['2019-07-31 12:51:47'],2019-07-31 12:51:47,12.05
2531,2019-07-31 14:40:52,1.1565754603205673e+18,"('KLM', '56377143')",['1.1565754603205673e+18'],['1.156584311237337e+18'],[],"['1.1565754603205673e+18', '1.156584311237337e+18']",['1.156584311237337e+18'],['2019-07-31 15:16:02'],2019-07-31 15:16:02,35.166666666666664
2532,2019-07-31 14:51:15,1.1565780711782932e+18,"('KLM', '56377143')",['1.1565780711782932e+18'],['1.1565856675367854e+18'],['1.156601628751016e+18'],"['1.1565780711782932e+18', '1.1565856675367854e+18', '1.156601628751016e+18']","['1.156601628751016e+18', '1.1565856675367854e+18']","['2019-07-31 16:24:51', '2019-07-31 15:21:26']",2019-07-31 16:24:51,93.6
2535,2019-07-31 16:29:08,1.15660270719463e+18,"('KLM', '56377143')",['1.1566027071946301e+18'],['1.1566040143536906e+18'],[],"['1.1566027071946301e+18', '1.1566040143536906e+18']",['1.1566040143536906e+18'],['2019-07-31 16:34:20'],2019-07-31 16:34:20,5.2
2536,2019-07-31 16:37:40,1.15660485298799e+18,"('KLM', '56377143')",['1.15660485298799e+18'],['1.1566063691366195e+18'],[],"['1.15660485298799e+18', '1.1566063691366195e+18']",['1.1566063691366195e+18'],['2019-07-31 16:43:41'],2019-07-31 16:43:41,6.016666666666667
2537,2019-07-31 16:37:52,1.1566049045359206e+18,"('KLM', '56377143'),('GLA_Airport', '41571188')",['1.1566049045359206e+18'],['1.156606894750032e+18'],[],"['1.1566049045359206e+18', '1.156606894750032e+18']",['1.156606894750032e+18'],['2019-07-31 16:45:47'],2019-07-31 16:45:47,7.916666666666668
2539,2019-07-31 16:54:34,1.1566091065574892e+18,"('KLM', '56377143')",['1.1566091065574892e+18'],['1.1566153644506194e+18'],[],"['1.1566091065574892e+18', '1.1566153644506194e+18']",['1.1566153644506194e+18'],['2019-07-31 17:19:26'],2019-07-31 17:19:26,24.866666666666667
2542,2019-07-31 17:31:33,1.1566184160123085e+18,"('KLM', '56377143')",['1.1566184160123085e+18'],['1.1566203885935247e+18'],[],"['1.1566184160123085e+18', '1.1566203885935247e+18']",['1.1566203885935247e+18'],['2019-07-31 17:39:24'],2019-07-31 17:39:24,7.8500000000000005
2543,2019-07-31 17:54:58,1.1566243076127252e+18,"('KLM', '56377143')",['1.1566243076127252e+18'],['1.156625020749308e+18'],[],"['1.1566243076127252e+18', '1.156625020749308e+18']",['1.156625020749308e+18'],['2019-07-31 17:57:48'],2019-07-31 17:57:48,2.8333333333333335
2544,2019-07-31 18:14:42,1.1566292735512822e+18,"('KLM', '56377143')",['1.1566292735512822e+18'],['1.156632128249127e+18'],[],"['1.1566292735512822e+18', '1.156632128249127e+18']",['1.156632128249127e+18'],['2019-07-31 18:26:03'],2019-07-31 18:26:03,11.35
2548,2019-07-31 22:01:17,1.1566862953406505e+18,"('KLM', '56377143')",['1.1566862953406505e+18'],['1.156687685999833e+18'],[],"['1.1566862953406505e+18', '1.156687685999833e+18']",['1.156687685999833e+18'],['2019-07-31 22:06:49'],2019-07-31 22:06:49,5.533333333333333
2550,2019-08-01 01:26:04,1.156737829109674e+18,"('KLM', '56377143')",['1.156737829109674e+18'],"['1.156739782913024e+18', '1.1567398764081807e+18']",[],"['1.156737829109674e+18', '1.156739782913024e+18', '1.1567398764081807e+18']","['1.1567398764081807e+18', '1.156739782913024e+18']","['2019-08-01 01:34:12', '2019-08-01 01:33:50']",2019-08-01 01:34:12,8.133333333333335
